,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
1117,IOSTUSDT,SPELLUSDT,0.02,-3.69,-3.37,6.52,59
785,ATOMUSDT,CREAMUSDT,0.0,-6.21,-3.37,0.6,57
124,BCHUSDT,CREAMUSDT,0.0,-5.82,-3.37,7.33,54
2299,DENTUSDT,BAKEUSDT,0.0,-5.69,-3.37,0.0,54
1439,FLOWUSDT,KDAUSDT,0.0,-5.77,-3.37,0.99,52
487,FILUSDT,KDAUSDT,0.0,-5.34,-3.37,3.43,51
1376,TLMUSDT,YGGUSDT,0.0,-4.27,-3.37,0.04,51
1451,LRCUSDT,SCUSDT,0.0,-4.58,-3.37,88.83,51
357,SUSHIUSDT,MASKUSDT,0.0,-6.13,-3.37,0.77,50
1789,SFPUSDT,SCUSDT,0.0,-4.44,-3.37,77.48,48
698,SANDUSDT,BATUSDT,0.0,-4.21,-3.37,3.91,48
888,YFIUSDT,KDAUSDT,0.0,-4.95,-3.37,3283.21,47
177,LINKUSDT,THETAUSDT,0.0,-4.69,-3.37,4.52,47
1768,YGGUSDT,DENTUSDT,0.01,-3.81,-3.37,861.77,46
1926,STXUSDT,1INCHUSDT,0.0,-5.0,-3.37,0.77,45
1775,YGGUSDT,BAKEUSDT,0.02,-3.61,-3.37,2.74,45
1007,ALGOUSDT,CREAMUSDT,0.0,-5.36,-3.37,0.02,44
758,ATOMUSDT,ALGOUSDT,0.04,-3.46,-3.37,34.84,44
550,XLMUSDT,CREAMUSDT,0.0,-5.93,-3.37,0.0,44
702,SANDUSDT,QTUMUSDT,0.0,-4.79,-3.37,0.42,43
649,COMPUSDT,STORJUSDT,0.0,-4.3,-3.37,120.49,43
1389,TLMUSDT,NEOUSDT,0.0,-4.84,-3.37,0.0,43
916,ICPUSDT,FTMUSDT,0.0,-5.04,-3.37,14.3,43
46,EOSUSDT,DASHUSDT,0.0,-4.89,-3.37,0.02,43
178,LINKUSDT,ATOMUSDT,0.02,-3.73,-3.37,0.57,43
1357,EGLDUSDT,CREAMUSDT,0.0,-5.67,-3.37,3.71,42
453,MATICUSDT,CREAMUSDT,0.0,-5.43,-3.37,0.03,42
738,MANAUSDT,CREAMUSDT,0.0,-5.51,-3.37,0.05,42
712,SANDUSDT,CREAMUSDT,0.0,-5.8,-3.37,0.07,42
1383,TLMUSDT,BICOUSDT,0.04,-3.41,-3.37,0.07,42
193,LINKUSDT,CREAMUSDT,0.0,-5.18,-3.37,0.34,41
1067,OMGUSDT,STORJUSDT,0.0,-4.8,-3.37,4.28,41
1935,STXUSDT,OCEANUSDT,0.01,-3.97,-3.37,2.33,41
1894,SCUSDT,IOTAUSDT,0.0,-4.31,-3.37,0.02,41
956,FTMUSDT,YGGUSDT,0.0,-5.83,-3.37,0.52,41
2459,XNOUSDT,CKBUSDT,0.0,-5.55,-3.37,210.84,41
2359,10000NFTUSDT,HNTUSDT,0.0,-4.3,-3.37,0.0,41
457,MATICUSDT,XNOUSDT,0.0,-5.4,-3.37,0.59,41
423,MATICUSDT,XLMUSDT,0.01,-3.84,-3.37,7.13,40
615,THETAUSDT,ATOMUSDT,0.01,-3.79,-3.37,0.13,40
2292,DENTUSDT,NEOUSDT,0.01,-3.88,-3.37,0.0,40
